iter	Passed	Remaining
0	1	179
1	2	145
2	4	134
3	5	122
4	5	113
5	6	109
6	8	108
7	9	105
8	10	103
9	11	102
10	12	99
11	13	98
12	14	97
13	15	94
14	16	92
15	17	90
16	18	89
17	19	87
18	20	85
19	20	83
20	21	82
21	22	80
22	23	78
23	24	77
24	25	76
25	26	76
26	27	75
27	29	74
28	29	73
29	30	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	64
37	39	63
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
